,name,accuracy,precision,recall,f1,roc_auc
0,dataset_995_mfeat-zernike,0.8366666666666667,0.375,0.95,0.5377358490566038,0.8870370370370371
1,dataset_875_analcatdata_chlamydia,1.0,1.0,1.0,1.0,1.0
2,dataset_1061_ar4,0.5151515151515151,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.3796296296296296
3,dataset_1020_mfeat-karhunen,0.9083333333333333,0.5257731958762887,0.85,0.6496815286624203,0.8824074074074075
4,dataset_966_analcatdata_halloffame,0.5646766169154229,0.9162995594713657,0.5714285714285714,0.7038917089678511,0.5357142857142857
5,dataset_765_analcatdata_apnea2,0.9790209790209791,1.0,0.9758064516129032,0.9877551020408163,0.9879032258064516
6,dataset_1065_kc3,0.47101449275362317,0.10526315789473684,0.6153846153846154,0.1797752808988764,0.5356923076923077
7,dataset_984_analcatdata_draft,0.990909090909091,1.0,0.9,0.9473684210526315,0.95
8,dataset_968_analcatdata_birthday,0.9818181818181818,0.8888888888888888,1.0,0.9411764705882353,0.9893617021276595
9,dataset_1021_page-blocks,0.5785627283800243,0.9745145631067961,0.5447761194029851,0.6988685813751088,0.7098880597014925
10,dataset_450_analcatdata_lawsuit,0.95,0.6,1.0,0.75,0.972972972972973
11,dataset_1016_vowel,0.8821548821548821,0.43548387096774194,1.0,0.6067415730337079,0.9351851851851851
12,dataset_1049_pc4,0.6575342465753424,0.08547008547008547,0.18867924528301888,0.11764705882352941,0.45537858368047046
13,dataset_867_visualizing_livestock,1.0,1.0,1.0,1.0,1.0
14,dataset_1022_mfeat-pixel,0.8616666666666667,0.41843971631205673,0.9833333333333333,0.5870646766169154,0.9157407407407406
15,dataset_767_analcatdata_apnea1,0.951048951048951,0.9758064516129032,0.968,0.9718875502008032,0.9006666666666667
16,dataset_1045_kc1-top5,0.9545454545454546,0.9545454545454546,1.0,0.9767441860465116,0.5
17,dataset_316_yeast_ml8,0.6322314049586777,0.003861003861003861,0.1,0.007434944237918215,0.3698324022346369
18,dataset_949_arsenic-female-bladder,0.9940476190476191,1.0,0.9930555555555556,0.9965156794425087,0.9965277777777778
19,dataset_950_arsenic-female-lung,0.9940476190476191,1.0,0.9938271604938271,0.9969040247678018,0.9969135802469136
20,dataset_951_arsenic-male-lung,1.0,1.0,1.0,1.0,1.0
21,dataset_865_analcatdata_neavote,0.4,0.05555555555555555,0.5,0.1,0.4464285714285715
22,dataset_1004_synthetic_control,0.9222222222222223,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.86
23,dataset_978_mfeat-factors,0.9283333333333333,0.5876288659793815,0.95,0.7261146496815286,0.937962962962963
24,dataset_1000_hypothyroid,0.1978798586572438,0.9308176100628931,0.1416267942583732,0.24584717607973422,0.507595006324589
25,dataset_1064_ar6,0.8387096774193549,0.5,0.6,0.5454545454545454,0.7423076923076923
26,dataset_1059_ar1,0.5675675675675675,0.15789473684210525,1.0,0.2727272727272727,0.7647058823529411
27,dataset_312_scene,0.715076071922545,0.3769968051118211,0.9147286821705426,0.5339366515837104,0.7932229269438571
28,dataset_987_collins,0.9933333333333333,0.96,1.0,0.9795918367346939,0.996031746031746
29,dataset_1013_analcatdata_challenger,0.9285714285714286,0.5,1.0,0.6666666666666666,0.9615384615384616
30,dataset_954_spectrometer,0.9875,0.8947368421052632,1.0,0.9444444444444444,0.993006993006993
31,dataset_962_mfeat-morphological,0.8983333333333333,0.49586776859504134,1.0,0.6629834254143646,0.9435185185185185
32,dataset_1039_hiva_agnostic,0.16312056737588654,0.03476669716376944,0.8444444444444444,0.06678383128295255,0.49125816993464055
33,dataset_980_optdigits,0.2870699881376038,0.10984848484848485,0.8430232558139535,0.19436997319034852,0.5334667137722344
34,dataset_1050_pc3,0.35181236673773986,0.10975609756097561,0.75,0.19148936170212766,0.5282066508313539
35,dataset_940_water-treatment,0.7169811320754716,0.3090909090909091,0.7083333333333334,0.43037974683544306,0.7134259259259261
36,dataset_971_mfeat-fourier,0.875,0.4418604651162791,0.95,0.6031746031746031,0.9083333333333333
37,dataset_958_segment,0.2106782106782107,0.14668769716088328,0.9393939393939394,0.25375170532060026,0.5143097643097644
38,dataset_1014_analcatdata_dmft,0.5,0.22962962962962963,0.6595744680851063,0.34065934065934067,0.5603571822290816
39,dataset_38_sick,0.6289752650176679,0.06234413965087282,0.36231884057971014,0.10638297872340426,0.5043014710894789
40,dataset_311_oil_spill,0.9929078014184397,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
41,dataset_1002_ipums_la_98-small,0.4327693677649154,0.9016393442622951,0.4106520657043305,0.5642954856361149,0.5154526151306462
42,dataset_757_meta,0.9685534591194969,1.0,0.965034965034965,0.9822064056939501,0.9825174825174825
43,dataset_463_backache,0.7407407407407407,0.18181818181818182,0.2857142857142857,0.2222222222222222,0.547112462006079
44,dataset_976_JapaneseVowels,0.679491468718635,0.3292507204610951,0.9442148760330579,0.48824786324786323,0.7862790947031557
45,dataset_1023_soybean,0.7902439024390244,0.3728813559322034,0.7857142857142857,0.5057471264367817,0.7883373688458434
46,dataset_764_analcatdata_apnea3,0.9703703703703703,0.9913793103448276,0.9745762711864406,0.9829059829059829,0.957876370887338
47,dataset_1056_mc1,0.6345070422535212,0.006782945736434108,0.35,0.013307984790874524,0.4932624113475178
48,dataset_947_arsenic-male-bladder,1.0,1.0,1.0,1.0,1.0
49,dataset_1018_ipums_la_99-small,0.4088168801808591,0.9403272377285852,0.39331723027375204,0.5546409310246949,0.5143056739604054
